"Story","Title","Result","Date","Stability","Duration (s)"
"Order templates story","Add a product to order template","PENDING","2015-10-14T12:40:09.794+02:00","0.0","0.0"
"My reviews story","Add new review for a product","PENDING","2015-10-14T12:38:46.122+02:00","0.0","0.0"
"Quick order story","Add products to cart by uploading csv file","PENDING","2015-10-14T12:40:10.147+02:00","0.0","0.0"
"Profile information story","Change currency and check it on  supplier  page","PENDING","2015-10-14T12:40:09.967+02:00","0.0","0.0"
"Profile information story","Change first and last name","PENDING","2015-10-14T12:40:09.967+02:00","0.0","0.0"
"Profile information story","Change password","PENDING","2015-10-14T12:40:09.967+02:00","0.0","0.0"
"Profile information story","Change site language","PENDING","2015-10-14T12:40:09.967+02:00","0.0","0.0"
"Collaborative carts story","Create new collaborative group","PENDING","2015-10-14T12:38:44.614+02:00","0.0","0.0"
"Order templates story","Create new template and remove it","PENDING","2015-10-14T12:40:09.794+02:00","0.0","0.0"
"Compare products story","Product can be added to cart from  compare  products page","PENDING","2015-10-14T12:38:45.886+02:00","0.0","0.0"
"Compare products story","Products can be removed from comparison","PENDING","2015-10-14T12:38:45.886+02:00","0.0","0.0"
"My tags story","Tag can be added from product details page","SUCCESS","2015-10-14T12:40:03.752+02:00","0.0","0.0"
